account_id,customer_id,account_type,currency,opened_at,status,current_balance,available_balance
ACC000001,CUST000001,merchant,UGX,2025-01-01,open,1823115,1742625
ACC000002,CUST000002,checking,UGX,2023-10-08,open,1172190,1022205
ACC000003,CUST000003,savings,UGX,2024-07-16,open,1174022,1133777
ACC000004,CUST000004,wallet,UGX,2024-11-29,open,934413,760018
ACC000005,CUST000005,savings,UGX,2024-11-03,open,1657605,1406625
ACC000006,CUST000006,wallet,UGX,2024-01-27,open,2474844,2391184
ACC000007,CUST000007,wallet,UGX,2025-03-09,open,891907,658597
ACC000008,CUST000008,savings,UGX,2025-09-03,open,1765660,1698585
ACC000009,CUST000009,wallet,UGX,2025-03-21,open,645712,471317
ACC000010,CUST000010,wallet,UGX,2023-06-08,open,1820902,1695412
ACC000011,CUST000011,savings,UGX,2023-06-21,open,594103,419708
ACC000012,CUST000012,wallet,UGX,2023-07-22,open,754174,554194
ACC000013,CUST000013,merchant,UGX,2025-01-24,frozen,2619457,2619457
ACC000014,CUST000014,checking,UGX,2024-10-07,frozen,1112584,971264
ACC000015,CUST000015,savings,UGX,2026-02-21,open,2862185,2757610
ACC000016,CUST000016,checking,UGX,2023-05-29,open,609641,421831
ACC000017,CUST000017,merchant,UGX,2024-11-17,open,2216433,2189603
ACC000018,CUST000018,savings,UGX,2023-09-25,open,3415148,3415148
ACC000019,CUST000019,savings,UGX,2025-01-02,open,1189235,942670
ACC000020,CUST000020,checking,UGX,2023-05-19,open,1157738,1090663
ACC000021,CUST000021,wallet,UGX,2025-07-08,open,3424001,3334341
ACC000022,CUST000022,wallet,UGX,2023-04-29,open,1715371,1688541
ACC000023,CUST000023,savings,UGX,2023-08-15,open,1770246,1743416
ACC000024,CUST000024,savings,UGX,2024-06-24,open,1038275,808630
ACC000025,CUST000025,checking,UGX,2024-03-13,open,1023625,732230
ACC000026,CUST000026,merchant,UGX,2025-12-13,open,1110392,841412
ACC000027,CUST000027,checking,UGX,2025-07-08,open,1664804,1413824
ACC000028,CUST000028,checking,UGX,2023-08-11,open,1893928,1684778
ACC000029,CUST000029,wallet,UGX,2023-05-16,open,1439159,1331839
ACC000030,CUST000030,savings,UGX,2023-08-30,open,697153,497173
ACC000031,CUST000031,wallet,UGX,2025-08-12,open,672694,484884
ACC000032,CUST000032,merchant,UGX,2024-11-24,open,3131292,3068547
ACC000033,CUST000033,savings,UGX,2025-08-17,open,1944048,1855723
ACC000034,CUST000034,wallet,UGX,2024-01-14,open,670921,496526
ACC000035,CUST000035,merchant,UGX,2024-04-24,open,1816844,1736354
ACC000036,CUST000036,checking,UGX,2025-06-27,open,2234345,2234345
ACC000037,CUST000037,checking,UGX,2025-11-06,open,2202441,2169111
ACC000038,CUST000038,merchant,UGX,2024-03-12,open,391483,190258
ACC000039,CUST000039,wallet,UGX,2024-08-26,open,1379671,1379671
ACC000040,CUST000040,wallet,UGX,2025-02-23,open,762436,529126
ACC000041,CUST000041,wallet,UGX,2024-12-23,frozen,1978417,1907757
ACC000042,CUST000042,checking,UGX,2025-04-23,open,1704475,1650815
ACC000043,CUST000043,wallet,UGX,2025-11-12,open,1229268,1062618
ACC000044,CUST000044,checking,UGX,2024-07-26,open,2835401,2814486
ACC000045,CUST000045,merchant,UGX,2025-12-14,open,1667295,1667295
ACC000046,CUST000046,merchant,UGX,2024-11-08,open,2223165,2118590
ACC000047,CUST000047,wallet,UGX,2024-12-01,frozen,1414370,1163390
ACC000048,CUST000048,savings,UGX,2024-02-01,frozen,787100,626120
ACC000049,CUST000049,wallet,UGX,2026-02-19,open,1247368,1126633
ACC000050,CUST000050,merchant,UGX,2024-03-25,open,2938190,2938190
ACC000051,CUST000051,wallet,UGX,2026-03-23,open,2582856,2582856
ACC000052,CUST000052,wallet,UGX,2024-12-18,open,1177919,947854
ACC000053,CUST000053,merchant,UGX,2024-05-21,frozen,3165518,3165518
ACC000054,CUST000054,wallet,UGX,2024-12-19,open,939152,709507
ACC000055,CUST000055,savings,UGX,2024-03-04,open,2220189,2193359
ACC000056,CUST000056,checking,UGX,2024-03-13,open,1573599,1502939
ACC000057,CUST000057,merchant,UGX,2023-07-02,open,2350564,2266904
ACC000058,CUST000058,checking,UGX,2025-04-07,open,2163714,2080389
ACC000059,CUST000059,merchant,UGX,2023-09-19,open,2051177,2021497
ACC000060,CUST000060,checking,UGX,2024-12-09,open,681020,518760
ACC000061,CUST000061,wallet,UGX,2023-05-01,open,1544498,1509728
ACC000062,CUST000062,wallet,UGX,2025-07-29,open,2494852,2494852
ACC000063,CUST000063,checking,UGX,2025-06-04,open,1424913,1343783
ACC000064,CUST000064,merchant,UGX,2025-10-06,frozen,1647839,1647839
ACC000065,CUST000065,checking,UGX,2024-11-23,open,2832135,2832135
ACC000066,CUST000066,checking,UGX,2023-03-21,open,2303768,2303768
ACC000067,CUST000067,wallet,UGX,2026-02-01,open,1361519,1361519
ACC000068,CUST000068,wallet,UGX,2026-03-24,open,1399169,1375989
ACC000069,CUST000069,savings,UGX,2025-03-07,frozen,835766,731456
ACC000070,CUST000070,savings,UGX,2023-11-13,frozen,1249742,1091342
ACC000071,CUST000071,merchant,UGX,2026-03-11,frozen,1140996,1045956
ACC000072,CUST000072,savings,UGX,2023-11-20,frozen,2137679,2063479
ACC000073,CUST000073,savings,UGX,2024-01-25,open,1557107,1430387
ACC000074,CUST000074,savings,UGX,2024-05-06,open,1564694,1392884
ACC000075,CUST000075,merchant,UGX,2023-08-06,open,1261050,1191510
ACC000076,CUST000076,checking,UGX,2023-06-06,open,1006742,816662
ACC000077,CUST000077,wallet,UGX,2023-09-29,open,1437158,1322618
ACC000078,CUST000078,merchant,UGX,2023-04-07,open,2991116,2991116
ACC000079,CUST000079,checking,UGX,2023-12-30,open,581836,431166
ACC000080,CUST000080,checking,UGX,2023-06-10,open,2352328,2352328
ACC000081,CUST000081,checking,UGX,2024-01-26,frozen,881761,691681
ACC000082,CUST000082,merchant,UGX,2024-03-19,open,675477,524807
ACC000083,CUST000083,wallet,UGX,2024-12-09,open,578554,451064
ACC000084,CUST000084,savings,UGX,2023-09-20,open,1172357,1079637
ACC000085,CUST000085,savings,UGX,2025-07-01,open,1257482,1211122
ACC000086,CUST000086,checking,UGX,2025-05-20,open,1610715,1610715
ACC000087,CUST000087,merchant,UGX,2026-02-08,open,2268647,2189447
ACC000088,CUST000088,savings,UGX,2023-04-02,open,582736,420476
ACC000089,CUST000089,wallet,UGX,2024-09-15,open,2091480,2034210
ACC000090,CUST000090,merchant,UGX,2025-12-06,open,530464,368204
ACC000091,CUST000091,wallet,UGX,2023-01-16,open,1519504,1484734
ACC000092,CUST000092,merchant,UGX,2024-02-03,open,815348,548088
ACC000093,CUST000093,merchant,UGX,2023-12-03,open,1276470,1206930
ACC000094,CUST000094,wallet,UGX,2025-08-29,open,2464641,2417121
ACC000095,CUST000095,savings,UGX,2026-01-27,open,2328560,2328560
ACC000096,CUST000096,checking,UGX,2024-08-27,open,2981819,2981819
ACC000097,CUST000097,wallet,UGX,2024-10-09,frozen,526943,376273
ACC000098,CUST000098,wallet,UGX,2026-03-14,open,1566383,1566383
ACC000099,CUST000099,checking,UGX,2023-08-07,open,1423547,1194467
ACC000100,CUST000100,savings,UGX,2026-01-06,open,2583835,2480885
ACC000101,CUST000101,savings,UGX,2025-12-23,open,445673,283413
ACC000102,CUST000102,savings,UGX,2024-11-16,frozen,2412272,2412272
