alert_id,transaction_id,account_id,alert_date,risk_score,alert_type,alert_status
FRAUD0000001,TXN00000002,ACC000465,2024-10-01,79,large_amount,open
FRAUD0000002,TXN00000003,ACC000465,2025-07-19,54,large_amount,reviewed
FRAUD0000003,TXN00000004,ACC000465,2024-03-05,46,large_amount,reviewed
FRAUD0000004,TXN00000005,ACC000465,2025-01-15,95,velocity,open
FRAUD0000005,TXN00000008,ACC000465,2025-08-01,71,large_amount,open
FRAUD0000006,TXN00000010,ACC000466,2024-10-29,68,large_amount,reviewed
FRAUD0000007,TXN00000012,ACC000466,2025-08-31,90,large_amount,open
FRAUD0000008,TXN00000013,ACC000466,2024-09-22,29,large_amount,reviewed
FRAUD0000009,TXN00000014,ACC000466,2025-02-03,21,large_amount,reviewed
FRAUD0000010,TXN00000015,ACC000466,2025-03-03,96,velocity,open
FRAUD0000011,TXN00000016,ACC000466,2024-04-16,64,large_amount,reviewed
FRAUD0000012,TXN00000017,ACC000467,2025-06-12,55,large_amount,reviewed
FRAUD0000013,TXN00000018,ACC000467,2024-01-10,82,large_amount,open
FRAUD0000014,TXN00000019,ACC000467,2024-06-15,47,large_amount,reviewed
FRAUD0000015,TXN00000020,ACC000467,2025-06-11,99,velocity,open
FRAUD0000016,TXN00000021,ACC000467,2024-06-01,49,large_amount,reviewed
FRAUD0000017,TXN00000022,ACC000467,2024-09-24,91,velocity,open
FRAUD0000018,TXN00000024,ACC000467,2024-02-21,45,large_amount,reviewed
FRAUD0000019,TXN00000027,ACC000468,2024-08-02,72,large_amount,open
FRAUD0000020,TXN00000028,ACC000468,2024-01-01,69,failed_auth,reviewed
FRAUD0000021,TXN00000032,ACC000468,2024-05-14,77,large_amount,open
FRAUD0000022,TXN00000033,ACC000469,2025-03-30,98,velocity,open
FRAUD0000023,TXN00000034,ACC000469,2025-03-28,92,velocity,open
FRAUD0000024,TXN00000035,ACC000469,2025-02-15,35,large_amount,reviewed
FRAUD0000025,TXN00000036,ACC000469,2024-03-15,38,large_amount,reviewed
FRAUD0000026,TXN00000037,ACC000469,2024-01-18,83,large_amount,open
FRAUD0000027,TXN00000038,ACC000469,2025-11-17,26,large_amount,reviewed
FRAUD0000028,TXN00000039,ACC000469,2024-02-05,23,large_amount,reviewed
FRAUD0000029,TXN00000040,ACC000469,2025-02-05,99,velocity,open
FRAUD0000030,TXN00000041,ACC000406,2025-01-12,87,large_amount,open
FRAUD0000031,TXN00000042,ACC000406,2024-11-09,62,large_amount,reviewed
FRAUD0000032,TXN00000043,ACC000406,2025-10-31,77,large_amount,open
FRAUD0000033,TXN00000044,ACC000406,2024-08-14,62,large_amount,reviewed
FRAUD0000034,TXN00000045,ACC000406,2024-09-17,100,velocity,open
FRAUD0000035,TXN00000046,ACC000406,2025-09-13,23,large_amount,reviewed
FRAUD0000036,TXN00000047,ACC000406,2024-01-18,31,large_amount,reviewed
FRAUD0000037,TXN00000048,ACC000406,2024-03-14,32,large_amount,reviewed
FRAUD0000038,TXN00000050,ACC000407,2024-12-24,67,large_amount,reviewed
FRAUD0000039,TXN00000051,ACC000407,2024-10-11,92,velocity,open
FRAUD0000040,TXN00000054,ACC000407,2024-08-15,70,large_amount,reviewed
FRAUD0000041,TXN00000055,ACC000407,2025-11-25,36,large_amount,reviewed
FRAUD0000042,TXN00000056,ACC000407,2024-10-18,72,large_amount,open
FRAUD0000043,TXN00000057,ACC000408,2025-01-10,42,large_amount,reviewed
FRAUD0000044,TXN00000058,ACC000408,2024-01-16,61,large_amount,reviewed
FRAUD0000045,TXN00000060,ACC000408,2024-05-16,95,velocity,open
FRAUD0000046,TXN00000062,ACC000408,2025-08-30,35,large_amount,reviewed
FRAUD0000047,TXN00000064,ACC000408,2024-08-21,75,large_amount,open
FRAUD0000048,TXN00000065,ACC000524,2024-06-26,30,large_amount,reviewed
FRAUD0000049,TXN00000066,ACC000524,2024-04-26,60,large_amount,reviewed
FRAUD0000050,TXN00000067,ACC000524,2025-06-08,50,large_amount,reviewed
FRAUD0000051,TXN00000068,ACC000524,2024-04-28,99,velocity,open
FRAUD0000052,TXN00000069,ACC000524,2025-04-26,34,large_amount,reviewed
FRAUD0000053,TXN00000070,ACC000524,2024-04-07,54,large_amount,reviewed
FRAUD0000054,TXN00000072,ACC000524,2024-05-24,62,large_amount,reviewed
FRAUD0000055,TXN00000073,ACC000525,2024-02-23,57,large_amount,reviewed
FRAUD0000056,TXN00000074,ACC000525,2024-03-08,80,large_amount,open
FRAUD0000057,TXN00000075,ACC000525,2024-04-02,95,velocity,open
FRAUD0000058,TXN00000076,ACC000525,2024-07-16,72,large_amount,open
FRAUD0000059,TXN00000077,ACC000525,2025-08-01,20,large_amount,reviewed
FRAUD0000060,TXN00000078,ACC000525,2025-03-18,72,large_amount,open
FRAUD0000061,TXN00000080,ACC000525,2025-02-04,99,velocity,open
FRAUD0000062,TXN00000081,ACC000526,2025-10-15,98,velocity,open
FRAUD0000063,TXN00000082,ACC000526,2025-05-18,61,large_amount,reviewed
FRAUD0000064,TXN00000083,ACC000526,2025-02-19,31,large_amount,reviewed
FRAUD0000065,TXN00000084,ACC000526,2024-08-27,30,large_amount,reviewed
FRAUD0000066,TXN00000085,ACC000526,2024-07-07,75,large_amount,open
FRAUD0000067,TXN00000086,ACC000526,2024-06-15,52,failed_auth,reviewed
FRAUD0000068,TXN00000087,ACC000526,2025-11-24,21,large_amount,reviewed
FRAUD0000069,TXN00000088,ACC000526,2025-10-09,52,large_amount,reviewed
FRAUD0000070,TXN00000089,ACC000527,2025-05-20,48,large_amount,reviewed
FRAUD0000071,TXN00000091,ACC000527,2025-07-13,94,velocity,open
FRAUD0000072,TXN00000093,ACC000527,2024-10-14,20,large_amount,reviewed
FRAUD0000073,TXN00000095,ACC000527,2024-07-17,51,large_amount,reviewed
FRAUD0000074,TXN00000096,ACC000527,2025-01-10,21,large_amount,reviewed
FRAUD0000075,TXN00000097,ACC000528,2025-05-06,82,large_amount,open
FRAUD0000076,TXN00000099,ACC000528,2025-07-31,100,velocity,open
FRAUD0000077,TXN00000101,ACC000528,2024-09-18,90,failed_auth,open
FRAUD0000078,TXN00000102,ACC000528,2024-02-11,41,large_amount,reviewed
FRAUD0000079,TXN00000103,ACC000528,2024-07-23,95,velocity,open
FRAUD0000080,TXN00000104,ACC000528,2024-12-20,89,large_amount,open
FRAUD0000081,TXN00000105,ACC000919,2024-06-08,52,large_amount,reviewed
FRAUD0000082,TXN00000106,ACC000919,2024-01-06,82,large_amount,open
FRAUD0000083,TXN00000107,ACC000919,2025-02-07,54,large_amount,reviewed
FRAUD0000084,TXN00000108,ACC000919,2025-10-31,99,velocity,open
FRAUD0000085,TXN00000109,ACC000919,2024-09-04,29,large_amount,reviewed
FRAUD0000086,TXN00000110,ACC000919,2024-06-11,72,large_amount,open
FRAUD0000087,TXN00000111,ACC000919,2024-11-06,67,large_amount,reviewed
FRAUD0000088,TXN00000112,ACC000919,2024-06-29,23,large_amount,reviewed
FRAUD0000089,TXN00000113,ACC000920,2024-07-31,88,large_amount,open
FRAUD0000090,TXN00000114,ACC000920,2025-11-29,66,large_amount,reviewed
FRAUD0000091,TXN00000116,ACC000920,2025-08-06,23,large_amount,reviewed
FRAUD0000092,TXN00000117,ACC000920,2024-01-28,31,large_amount,reviewed
FRAUD0000093,TXN00000119,ACC000920,2024-05-04,51,large_amount,reviewed
FRAUD0000094,TXN00000120,ACC000920,2024-09-16,29,large_amount,reviewed
FRAUD0000095,TXN00000121,ACC000921,2024-04-20,79,large_amount,open
FRAUD0000096,TXN00000122,ACC000921,2024-02-12,70,large_amount,reviewed
FRAUD0000097,TXN00000123,ACC000921,2024-11-27,47,large_amount,reviewed
FRAUD0000098,TXN00000124,ACC000921,2025-08-28,83,large_amount,open
FRAUD0000099,TXN00000125,ACC000921,2025-08-05,70,large_amount,reviewed
FRAUD0000100,TXN00000126,ACC000921,2025-02-24,56,large_amount,reviewed
