loan_id,customer_id,account_id,loan_product,principal_amount,interest_rate_annual_pct,tenure_months,issue_date,due_date,loan_status
LOAN000001,CUST000001,ACC000001,salary_advance,819611,20,15,2025-01-01,2026-03-27,active
LOAN000002,CUST000002,ACC000002,consumer,1606089,24,3,2023-10-08,2024-01-06,active
LOAN000003,CUST000003,ACC000003,consumer,453244,20,15,2024-07-16,2025-10-09,active
LOAN000004,CUST000004,ACC000004,micro_loan,1889433,25,7,2024-11-29,2025-06-27,active
LOAN000005,CUST000005,ACC000005,micro_loan,2500000,18,5,2024-11-03,2025-04-02,active
LOAN000006,CUST000006,ACC000006,salary_advance,1014893,17,18,2024-01-27,2025-07-20,active
LOAN000007,CUST000007,ACC000007,consumer,2500000,19,14,2025-03-09,2026-05-03,active
LOAN000008,CUST000008,ACC000008,consumer,898473,15,11,2025-09-03,2026-07-30,active
LOAN000009,CUST000009,ACC000009,micro_loan,1992070,17,12,2025-03-21,2026-03-16,active
LOAN000010,CUST000010,ACC000010,consumer,1456367,16,5,2023-06-08,2023-11-05,active
LOAN000011,CUST000011,ACC000011,consumer,1769723,25,6,2023-06-21,2023-12-18,active
LOAN000012,CUST000012,ACC000012,salary_advance,2192624,19,11,2023-07-22,2024-06-16,active
LOAN000013,CUST000014,ACC000014,consumer,1452273,21,9,2024-10-07,2025-07-04,active
LOAN000014,CUST000015,ACC000015,consumer,1270035,21,6,2026-02-21,2026-08-20,active
LOAN000015,CUST000016,ACC000016,salary_advance,1924175,20,6,2023-05-29,2023-11-25,active
LOAN000016,CUST000017,ACC000017,salary_advance,324061,23,4,2024-11-17,2025-03-17,active
LOAN000017,CUST000019,ACC000019,micro_loan,2500000,18,16,2025-01-02,2026-04-27,active
LOAN000018,CUST000020,ACC000020,salary_advance,789093,14,4,2023-05-19,2023-09-16,active
LOAN000019,CUST000021,ACC000021,consumer,996364,22,14,2025-07-08,2026-09-01,active
LOAN000020,CUST000022,ACC000022,salary_advance,371205,22,7,2023-04-29,2023-11-25,active
LOAN000021,CUST000023,ACC000023,consumer,356144,21,7,2023-08-15,2024-03-12,active
LOAN000022,CUST000024,ACC000024,consumer,2484144,25,7,2024-06-24,2025-01-20,active
LOAN000023,CUST000025,ACC000025,salary_advance,2500000,14,4,2024-03-13,2024-07-11,active
LOAN000024,CUST000026,ACC000026,micro_loan,2500000,19,14,2025-12-13,2027-02-06,active
LOAN000025,CUST000027,ACC000027,salary_advance,2500000,24,12,2025-07-08,2026-07-03,active
LOAN000026,CUST000028,ACC000028,consumer,2173860,18,16,2023-08-11,2024-12-03,active
LOAN000027,CUST000029,ACC000029,consumer,1191385,15,9,2023-05-16,2024-02-10,active
LOAN000028,CUST000030,ACC000030,salary_advance,2024075,19,4,2023-08-30,2023-12-28,active
LOAN000029,CUST000031,ACC000031,salary_advance,2121086,15,15,2025-08-12,2026-11-05,active
LOAN000030,CUST000032,ACC000032,micro_loan,880149,15,13,2024-11-24,2025-12-19,active
LOAN000031,CUST000033,ACC000033,consumer,885587,22,7,2025-08-17,2026-03-15,active
LOAN000032,CUST000034,ACC000034,micro_loan,2019084,14,14,2024-01-14,2025-03-09,active
LOAN000033,CUST000035,ACC000035,micro_loan,897001,19,13,2024-04-24,2025-05-19,active
LOAN000034,CUST000037,ACC000037,salary_advance,400412,20,10,2025-11-06,2026-09-02,active
LOAN000035,CUST000038,ACC000038,salary_advance,2134042,13,4,2024-03-12,2024-07-10,active
LOAN000036,CUST000040,ACC000040,consumer,2500000,16,3,2025-02-23,2025-05-24,active
LOAN000037,CUST000041,ACC000041,consumer,829387,23,13,2024-12-23,2026-01-17,active
LOAN000038,CUST000042,ACC000042,micro_loan,684264,12,5,2025-04-23,2025-09-20,active
LOAN000039,CUST000043,ACC000043,salary_advance,1685062,15,11,2025-11-12,2026-10-08,active
LOAN000040,CUST000044,ACC000044,salary_advance,248590,18,5,2024-07-26,2024-12-23,active
LOAN000041,CUST000046,ACC000046,micro_loan,1197980,23,11,2024-11-08,2025-10-04,active
LOAN000042,CUST000047,ACC000047,consumer,2500000,20,13,2024-12-01,2025-12-26,active
LOAN000043,CUST000048,ACC000048,salary_advance,1826351,16,3,2024-02-01,2024-05-01,active
LOAN000044,CUST000049,ACC000049,micro_loan,1327125,21,11,2026-02-19,2027-01-15,active
LOAN000045,CUST000052,ACC000052,micro_loan,2326797,15,14,2024-12-18,2026-02-11,active
LOAN000046,CUST000054,ACC000054,salary_advance,2373769,22,12,2024-12-19,2025-12-14,active
LOAN000047,CUST000055,ACC000055,salary_advance,371864,14,11,2024-03-04,2025-01-28,active
LOAN000048,CUST000056,ACC000056,micro_loan,964498,21,7,2024-03-13,2024-10-09,active
LOAN000049,CUST000057,ACC000057,consumer,935664,18,9,2023-07-02,2024-03-28,active
LOAN000050,CUST000058,ACC000058,consumer,881072,13,15,2025-04-07,2026-07-01,active
LOAN000051,CUST000059,ACC000059,consumer,451627,22,12,2023-09-19,2024-09-13,active
LOAN000052,CUST000060,ACC000060,consumer,1907874,24,3,2024-12-09,2025-03-09,active
LOAN000053,CUST000061,ACC000061,micro_loan,529285,17,18,2023-05-01,2024-10-22,active
