repayment_id,loan_id,customer_id,payment_date,amount,payment_channel,repayment_status
REPAY0000001,LOAN000001,CUST000001,2025-01-31,139333,mobile_money,success
REPAY0000002,LOAN000002,CUST000002,2023-11-07,144548,mobile_money,success
REPAY0000003,LOAN000003,CUST000003,2024-08-15,81583,agent,success
REPAY0000004,LOAN000003,CUST000003,2024-09-14,36259,bank_transfer,success
REPAY0000005,LOAN000004,CUST000004,2024-12-29,472358,agent,success
REPAY0000006,LOAN000005,CUST000005,2024-12-03,300000,bank_transfer,success
REPAY0000007,LOAN000005,CUST000005,2025-01-02,275000,bank_transfer,success
REPAY0000008,LOAN000006,CUST000006,2024-02-26,162382,bank_transfer,success
REPAY0000009,LOAN000007,CUST000007,2025-04-08,450000,bank_transfer,success
REPAY0000010,LOAN000007,CUST000007,2025-05-08,325000,mobile_money,success
REPAY0000011,LOAN000008,CUST000008,2025-10-03,215633,mobile_money,success
REPAY0000012,LOAN000008,CUST000008,2025-11-02,80862,agent,success
REPAY0000013,LOAN000009,CUST000009,2025-04-20,338651,bank_transfer,success
REPAY0000014,LOAN000009,CUST000009,2025-05-20,318731,bank_transfer,success
REPAY0000015,LOAN000010,CUST000010,2023-07-08,160200,mobile_money,success
REPAY0000016,LOAN000010,CUST000010,2023-08-07,203891,bank_transfer,success
REPAY0000017,LOAN000011,CUST000011,2023-07-21,212366,mobile_money,success
REPAY0000018,LOAN000012,CUST000012,2023-08-21,482377,bank_transfer,success
REPAY0000019,LOAN000012,CUST000012,2023-09-20,219262,mobile_money,success
REPAY0000020,LOAN000013,CUST000014,2024-11-06,246886,agent,success
REPAY0000021,LOAN000014,CUST000015,2026-03-23,241306,bank_transfer,success
REPAY0000022,LOAN000015,CUST000016,2023-06-28,230901,bank_transfer,success
REPAY0000023,LOAN000015,CUST000016,2023-07-28,153934,bank_transfer,success
REPAY0000024,LOAN000016,CUST000017,2024-12-17,81015,bank_transfer,success
REPAY0000025,LOAN000016,CUST000017,2025-01-16,38887,agent,success
REPAY0000026,LOAN000017,CUST000019,2025-02-01,500000,agent,success
REPAY0000027,LOAN000018,CUST000020,2023-06-18,126254,mobile_money,success
REPAY0000028,LOAN000019,CUST000021,2025-08-07,229163,bank_transfer,success
REPAY0000029,LOAN000020,CUST000022,2023-05-29,85377,agent,success
REPAY0000030,LOAN000020,CUST000022,2023-06-28,25984,agent,success
REPAY0000031,LOAN000021,CUST000023,2023-09-14,53421,mobile_money,success
REPAY0000032,LOAN000021,CUST000023,2023-10-14,21368,bank_transfer,success
REPAY0000033,LOAN000022,CUST000024,2024-07-24,571353,agent,success
REPAY0000034,LOAN000023,CUST000025,2024-04-12,300000,agent,success
REPAY0000035,LOAN000024,CUST000026,2026-01-12,450000,mobile_money,success
REPAY0000036,LOAN000024,CUST000026,2026-02-11,400000,bank_transfer,success
REPAY0000037,LOAN000025,CUST000027,2025-08-07,400000,mobile_money,success
REPAY0000038,LOAN000025,CUST000027,2025-09-06,375000,agent,success
REPAY0000039,LOAN000026,CUST000028,2023-09-10,391294,agent,success
REPAY0000040,LOAN000026,CUST000028,2023-10-10,239124,bank_transfer,success
REPAY0000041,LOAN000027,CUST000029,2023-06-15,95310,agent,success
REPAY0000042,LOAN000027,CUST000029,2023-07-15,83396,bank_transfer,success
REPAY0000043,LOAN000028,CUST000030,2023-09-29,283370,agent,success
REPAY0000044,LOAN000028,CUST000030,2023-10-29,101203,bank_transfer,success
REPAY0000045,LOAN000029,CUST000031,2025-09-11,339373,bank_transfer,success
REPAY0000046,LOAN000029,CUST000031,2025-10-11,275741,bank_transfer,success
REPAY0000047,LOAN000030,CUST000032,2024-12-24,176029,mobile_money,success
REPAY0000048,LOAN000030,CUST000032,2025-01-23,132022,mobile_money,success
REPAY0000049,LOAN000031,CUST000033,2025-09-16,141693,bank_transfer,success
REPAY0000050,LOAN000031,CUST000033,2025-10-16,70846,mobile_money,success
REPAY0000051,LOAN000032,CUST000034,2024-02-13,161526,bank_transfer,success
REPAY0000052,LOAN000033,CUST000035,2024-05-24,170430,agent,success
REPAY0000053,LOAN000033,CUST000035,2024-06-23,125580,bank_transfer,success
REPAY0000054,LOAN000034,CUST000037,2025-12-06,36037,bank_transfer,success
REPAY0000055,LOAN000034,CUST000037,2026-01-05,28028,mobile_money,success
REPAY0000056,LOAN000035,CUST000038,2024-04-11,490829,bank_transfer,success
REPAY0000057,LOAN000035,CUST000038,2024-05-11,341446,mobile_money,success
REPAY0000058,LOAN000036,CUST000040,2025-03-25,225000,mobile_money,success
REPAY0000059,LOAN000036,CUST000040,2025-04-24,250000,agent,success
REPAY0000060,LOAN000037,CUST000041,2025-01-22,149289,bank_transfer,success
REPAY0000061,LOAN000037,CUST000041,2025-02-21,74644,agent,success
REPAY0000062,LOAN000038,CUST000042,2025-05-23,157380,agent,success
REPAY0000063,LOAN000038,CUST000042,2025-06-22,75269,bank_transfer,success
REPAY0000064,LOAN000039,CUST000043,2025-12-12,320161,mobile_money,success
REPAY0000065,LOAN000039,CUST000043,2026-01-11,134804,bank_transfer,success
REPAY0000066,LOAN000040,CUST000044,2024-08-25,37288,mobile_money,success
REPAY0000067,LOAN000040,CUST000044,2024-09-24,17401,mobile_money,success
REPAY0000068,LOAN000041,CUST000046,2024-12-08,287515,bank_transfer,success
REPAY0000069,LOAN000041,CUST000046,2025-01-07,155737,mobile_money,success
REPAY0000070,LOAN000042,CUST000047,2024-12-31,325000,mobile_money,success
REPAY0000071,LOAN000043,CUST000048,2024-03-02,310479,agent,success
REPAY0000072,LOAN000043,CUST000048,2024-04-01,182635,agent,success
REPAY0000073,LOAN000044,CUST000049,2026-03-21,185797,bank_transfer,success
REPAY0000074,LOAN000045,CUST000052,2025-01-17,279215,agent,success
REPAY0000075,LOAN000045,CUST000052,2025-02-16,302483,mobile_money,success
REPAY0000076,LOAN000046,CUST000054,2025-01-18,213639,agent,success
REPAY0000077,LOAN000046,CUST000054,2025-02-17,237376,mobile_money,success
REPAY0000078,LOAN000047,CUST000055,2024-04-03,85528,mobile_money,success
REPAY0000079,LOAN000047,CUST000055,2024-05-03,29749,mobile_money,success
REPAY0000080,LOAN000048,CUST000056,2024-04-12,192899,bank_transfer,success
REPAY0000081,LOAN000049,CUST000057,2023-08-01,187132,agent,success
REPAY0000082,LOAN000049,CUST000057,2023-08-31,140349,mobile_money,success
REPAY0000083,LOAN000050,CUST000058,2025-05-07,202646,agent,success
REPAY0000084,LOAN000050,CUST000058,2025-06-06,61675,bank_transfer,success
REPAY0000085,LOAN000051,CUST000059,2023-10-19,94841,mobile_money,success
REPAY0000086,LOAN000052,CUST000060,2025-01-08,209866,bank_transfer,success
REPAY0000087,LOAN000052,CUST000060,2025-02-07,171708,mobile_money,success
REPAY0000088,LOAN000053,CUST000061,2023-05-31,111149,bank_transfer,success
REPAY0000089,LOAN000053,CUST000061,2023-06-30,63514,mobile_money,success
REPAY0000090,LOAN000054,CUST000063,2025-07-04,142711,agent,success
REPAY0000091,LOAN000055,CUST000068,2026-04-23,25572,agent,success
REPAY0000092,LOAN000055,CUST000068,2026-05-23,34096,agent,success
REPAY0000093,LOAN000056,CUST000069,2025-04-06,254133,bank_transfer,success
REPAY0000094,LOAN000056,CUST000069,2025-05-06,96812,mobile_money,success
REPAY0000095,LOAN000057,CUST000070,2023-12-13,331300,mobile_money,success
REPAY0000096,LOAN000058,CUST000071,2026-04-10,306801,bank_transfer,success
REPAY0000097,LOAN000059,CUST000072,2023-12-20,118435,bank_transfer,success
REPAY0000098,LOAN000060,CUST000073,2024-02-24,160506,agent,success
REPAY0000099,LOAN000061,CUST000074,2024-06-05,313637,mobile_money,success
REPAY0000100,LOAN000061,CUST000074,2024-07-05,147594,mobile_money,success
