transaction_id,account_id,customer_id,merchant_id,card_id,transaction_date,transaction_type,channel,amount,currency,status,country_code
TXN00000001,ACC000465,CUST000465,MERC00041,,2025-07-23,deposit,agent_cashin,140093,UGX,success,UG
TXN00000002,ACC000465,CUST000465,MERC00003,,2024-10-01,payment,mobile_money,277374,UGX,failed,UG
TXN00000003,ACC000465,CUST000465,MERC00022,,2025-07-19,deposit,mobile_money,432199,UGX,pending,UG
TXN00000004,ACC000465,CUST000465,MERC00003,,2024-03-05,deposit,bank_transfer,263390,UGX,pending,UG
TXN00000005,ACC000465,CUST000465,MERC00057,,2025-01-15,bill_pay,agent_cashin,364039,UGX,pending,UG
TXN00000006,ACC000465,CUST000465,MERC00021,,2024-06-26,bill_pay,card_online,123474,UGX,success,UG
TXN00000007,ACC000465,CUST000465,MERC00010,,2024-05-21,withdrawal,mobile_money,167589,UGX,success,UG
TXN00000008,ACC000465,CUST000465,MERC00028,,2025-08-01,bill_pay,mobile_money,343062,UGX,failed,UG
TXN00000009,ACC000466,CUST000466,MERC00027,,2025-02-01,withdrawal,agent_cashin,148298,UGX,success,UG
TXN00000010,ACC000466,CUST000466,MERC00011,,2024-10-29,transfer,mobile_money,281863,UGX,failed,UG
TXN00000011,ACC000466,CUST000466,MERC00050,,2025-01-09,payment,mobile_money,191165,UGX,success,UG
TXN00000012,ACC000466,CUST000466,MERC00030,,2025-08-31,bill_pay,agent_cashin,251376,UGX,pending,UG
TXN00000013,ACC000466,CUST000466,MERC00002,,2024-09-22,bill_pay,card_online,284555,UGX,success,UG
TXN00000014,ACC000466,CUST000466,MERC00045,,2025-02-03,deposit,bank_transfer,359481,UGX,pending,UG
TXN00000015,ACC000466,CUST000466,MERC00002,,2025-03-03,transfer,agent_cashin,186637,UGX,success,UG
TXN00000016,ACC000466,CUST000466,MERC00071,,2024-04-16,deposit,mobile_money,397870,UGX,failed,UG
TXN00000017,ACC000467,CUST000467,MERC00060,CARD000323,2025-06-12,withdrawal,card_pos,473218,UGX,success,UG
TXN00000018,ACC000467,CUST000467,MERC00052,CARD000323,2024-01-10,bill_pay,agent_cashin,380250,UGX,success,UG
TXN00000019,ACC000467,CUST000467,MERC00011,CARD000323,2024-06-15,withdrawal,mobile_money,481408,UGX,success,UG
TXN00000020,ACC000467,CUST000467,MERC00012,CARD000323,2025-06-11,transfer,agent_cashin,261337,UGX,pending,UG
TXN00000021,ACC000467,CUST000467,MERC00017,CARD000323,2024-06-01,payment,mobile_money,346026,UGX,success,UG
TXN00000022,ACC000467,CUST000467,MERC00023,CARD000323,2024-09-24,deposit,agent_cashin,378769,UGX,success,UG
